idx,question,gold,level,type,v_answer,v_f1,v_em,t_answer,t_f1,t_em,alpha,beta,gamma
0,12 Years a Slave starred what British actor born 10 July 1977),Chiwetel Ejiofor,hard,bridge,Chiwetel Ejiofor,1.0,1.0,Chiwetel Ejiofor,1.0,1.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
1,"The director of the romantic comedy ""Big Stone Gap"" is based in what New York city?","Greenwich Village, New York City",hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
2,"Who was born first, Javier Frana or Sherwood Stewart?",Sherwood Stewart,hard,comparison,"Sherwood Stewart was born first on June 6, 1946, while Javier Frana was born on December 25, 1966.",0.19999999999999998,0.0,"Sherwood Stewart was born first, on June 6, 1946, while Javier Frana's birth date is not provided in the context.",0.1904761904761905,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
3,What was the birthdate of the actor who starred in the movie Voodoo?,"July 16, 1971",hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
4,To where did the war criminal who is the fictional defendant in the film After the Truth flee in real life ?,South America,hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.6,0.2,0.2
5,"Dream Street is narrated by an English musician, comedian, and actor who first came to public notice with what British comedy showband?",Black Abbots,hard,bridge,The Smothers Brothers Comedy Hour.,0.0,0.0,The information is not available.,0.0,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
6,Olivia DeJonge starred in an American horror film directed by Shyamalan called what,The Visit,hard,bridge,The Visit,1.0,1.0,The Visit,1.0,1.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
7,"Multiculturalism in the Netherlands reached new heights following the murder in 2002, in part, with what Dutch politician, civil servant, socialogist and professor who formed his own party?","Wilhelmus Simon Petrus Fortuijn, known as Pim Fortuyn",hard,bridge,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
8,Who is a Brazilian mixed martial artist in the UFC who Namsaknoi Yudthagarngamtorn coached?,Rafael Souza dos Anjos,hard,bridge,The information is not available.,0.0,0.0,Rafael Dos Anjos.,0.8571428571428571,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
9,"Who has released more studio albums, Candlelight Red or Motion City Soundtrack?",Motion City Soundtrack,hard,comparison,Motion City Soundtrack has released more studio albums.,0.5454545454545454,0.0,The information is not available.,0.0,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
10,What American indie rock group first had Jesse Sandoval as the drummer and now has Jon Sortland on drums?,The Shins,hard,bridge,The Shins.,1.0,1.0,The Shins.,1.0,1.0,0.169811320754717,0.18867924528301888,0.641509433962264
11,"What career did the British actor born in 1965  and star of Lock, Stock and Two Smoking Barrels have before acting?",professional footballer,hard,bridge,The information is not available.,0.0,0.0,"Vinnie Jones, the British actor born in 1965 and a star of ""Lock, Stock and Two Smoking Barrels,"" was a professional footballer before his acting career.",0.16,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
12,Which major international airport in south-east England ranks as the 8th busiest airport in Europe and replaced Croydon Airport?,Gatwick Airport,hard,bridge,Gatwick Airport ranks as the 8th busiest airport in Europe and replaced Croydon Airport.,0.2666666666666667,0.0,Gatwick Airport ranks as the 8th busiest airport in Europe and replaced Croydon Airport.,0.2666666666666667,0.0,0.169811320754717,0.18867924528301888,0.641509433962264
13,"The star of ""Under the Silver Lake"" made his debut in what film?",Lions for Lambs,hard,bridge,"Andrew Garfield made his feature-film debut in the 2007 ensemble drama ""Lions for Lambs.""",0.375,0.0,"Andrew Garfield made his feature-film debut in the 2007 ensemble drama ""Lions for Lambs.""",0.375,0.0,0.6,0.2,0.2
14,"Which has more species, Festuca or Dactylis?",Festuca,hard,comparison,The information is not available.,0.0,0.0,The information is not available.,0.0,0.0,0.18446601941747573,0.1941747572815534,0.6213592233009708
